parameter,value
threshold0,18
threshold1,23
threshold2,33
low_bound,130
mid_bound,226
close_threshold,3
RG_enh0,0.11676547747574578
RG_enh1,0.14416118040881504
RG_enh2,0.629278068371682
RG_red0,0.3182015338121046
RG_red1,0.3548437474501874
RG_red2,0.15055782901594825
RB_enh0,0.42753525198301123
RB_enh1,0.5303747313910737
RB_enh2,0.6564131868697789
RB_red0,0.4608821422686519
RB_red1,0.5106560061458716
RB_red2,0.6700620378330705
GB_enh0,0.3233839801426418
GB_enh1,0.02904424209135362
GB_enh2,0.28454338658394085
GB_red0,0.7042174148252038
GB_red1,0.7775772771630073
GB_red2,0.5902401275177727
R_enh1,0.17686115934772662
R_enh2,0.38885955879442263
R_enh3,0.13476025540318748
R_red1,0.046548280282709936
R_red2,0.15827372593962027
R_red3,0.41170618584322116
R_red4,0.14579806326039046
G_enh1,0.09264512554249041
G_enh2,0.05097903746486138
G_enh3,0.022259351574151962
G_red1,0.09482658817502615
G_red2,0.04987488536149176
G_red3,0.05404255934208302
G_red4,0.03814694049847894
B_enh1,0.13836726310594535
B_enh2,0.05149140921380737
B_enh3,0.04343949532287826
B_red1,0.12928311885784372
B_red2,0.03546925469369652
B_red3,0.12824440278468505
B_red4,0.10528908811866722
