parameter,value
threshold0,10
threshold1,26
threshold2,38
low_bound,54
mid_bound,254
close_threshold,9
RG_enh0,0.2947725631589322
RG_enh1,0.12758115126539998
RG_enh2,0.7046662479798439
RG_red0,0.7483033895810154
RG_red1,0.23621295204426268
RG_red2,0.26649408761406185
RB_enh0,0.313214304918255
RB_enh1,0.3928070788055103
RB_enh2,0.5412930378065122
RB_red0,0.4194131543433273
RB_red1,0.3883007344594702
RB_red2,0.5941235438028042
GB_enh0,0.36468759757382296
GB_enh1,0.02213479934993829
GB_enh2,0.31006439506651484
GB_red0,0.5719070551133147
GB_red1,0.6988407024308464
GB_red2,0.45070117269113014
R_enh1,0.32879923611148537
R_enh2,0.20415620911910717
R_enh3,0.08037663393837052
R_red1,0.4472855587264604
R_red2,0.0950168318806185
R_red3,0.2398304827916395
R_red4,0.09985137314527845
G_enh1,0.07916851492236913
G_enh2,0.0771565309492442
G_enh3,0.025887122189605517
G_red1,0.09670696864596354
G_red2,0.06450157749874225
G_red3,0.026700148852625474
G_red4,0.0964891837647038
B_enh1,0.22129370715437197
B_enh2,0.13343745049880265
B_enh3,0.08498991269019836
B_red1,0.24197053275509592
B_red2,0.08844852393583741
B_red3,0.08905127265327441
B_red4,0.05984972065641538
