parameter,value
threshold0,21
threshold1,49
threshold2,72
low_bound,108
mid_bound,127
close_threshold,8
enhance0,0.19477572599490564
enhance1,0.45258378004112276
enhance2,0.014591939789419202
reduce0,0.32583258937444326
reduce1,0.10154305454883289
reduce2,0.7140177598967288
R_enh1,0.3099903174152563
R_enh2,0.3971300095128634
R_enh3,0.021106340180516825
R_red1,0.1170398810042673
R_red2,0.07747423219710009
R_red3,0.3585009595062714
R_red4,0.024229680215308948
G_enh1,0.0478395192523484
G_enh2,0.03114542378213584
G_enh3,0.013228886741882873
G_red1,0.02488654249510737
G_red2,0.01702035621170436
G_red3,0.030709687807797273
G_red4,0.03156355851140061
B_enh1,0.02013677453388629
B_enh2,0.3782961324246682
B_enh3,0.07573266763282116
B_red1,0.3488067993029969
B_red2,0.1393145420657674
B_red3,0.02625603135034206
B_red4,0.2256654547249879
