parameter,value
threshold0,92
threshold1,189
threshold2,247
low_bound,62
mid_bound,226
close_threshold,8
enhance0,0.28245582599647034
enhance1,0.05216697690997314
enhance2,0.5403477892512942
reduce0,0.7366565642986294
reduce1,0.7728960833538961
reduce2,0.5969860804670513
R_enh1,0.20201110203375683
R_enh2,0.2177965816598495
R_enh3,0.0613561451468715
R_red1,0.16850302582122823
R_red2,0.071309094267684
R_red3,0.011773404195053058
R_red4,0.19627753626804828
G_enh1,0.07619092515982553
G_enh2,0.057749248472650734
G_enh3,0.08025919552372764
G_red1,0.01844992491650078
G_red2,0.05722012458052276
G_red3,0.014595227270124682
G_red4,0.02437056762033383
B_enh1,0.04107756969897836
B_enh2,0.027278928048892138
B_enh3,0.11306533933936423
B_red1,0.48619068243092933
B_red2,0.06511852142987276
B_red3,0.10673673062503504
B_red4,0.22549036425008193
