parameter,value
R_enh1,0.4868569902611689
R_enh2,0.16991658899041143
R_enh3,0.47425175738838793
R_red1,0.32811904298208006
R_red2,0.04289545578958512
R_red3,0.19045148130857986
R_red4,0.3210350962794972
G_enh1,0.04218888015931118
G_enh2,0.04530444915837359
G_enh3,0.07108265850895275
G_red1,0.058073999130607803
G_red2,0.09199933271908986
G_red3,0.09539547769258325
G_red4,0.04123514269546086
B_enh1,0.10597480504705126
B_enh2,0.035081217484852205
B_enh3,0.4860207667349804
B_red1,0.38135081271077936
B_red2,0.06839733352996315
B_red3,0.48660525156107537
B_red4,0.36622708909349977
