parameter,value
R_enh1,0.4027916371836597
R_enh2,0.3785002231890039
R_enh3,0.10765192000854322
R_red1,0.44784485231015164
R_red2,0.31054471372922055
R_red3,0.017411654641022956
R_red4,0.20646613668998717
G_enh1,0.0362602528297026
G_enh2,0.08171936723119098
G_enh3,0.03461596523484246
G_red1,0.07034770889926253
G_red2,0.07503889997527621
G_red3,0.06183590374973287
G_red4,0.09874720758187497
B_enh1,0.1086652362332884
B_enh2,0.06359131677832322
B_enh3,0.021286092434688375
B_red1,0.2905974009435844
B_red2,0.0683281621110076
B_red3,0.16570615057365778
B_red4,0.27518887269097975
