parameter,value
threshold0,83.1922919863613
threshold1,93.46582831354416
threshold2,123.57533944573171
low_bound,124.38555586477332
mid_bound,123.16683729641888
close_threshold,4.82346159272372
RG_enh0,0.014208537220655678
RG_enh1,0.07010922867912327
RG_enh2,0.0691185183340764
RG_red0,0.733061309846822
RG_red1,0.6510749497971005
RG_red2,0.5643315090128965
RB_enh0,0.3849443917289649
RB_enh1,0.05780798441332728
RB_enh2,0.22440357530061866
RB_red0,0.1650473507174185
RB_red1,0.0847301807999729
RB_red2,0.31083357039055043
GB_enh0,0.17615673731879355
GB_enh1,0.20700985278083492
GB_enh2,0.02649940517586731
GB_red0,0.419802310730295
GB_red1,0.11034440710238265
GB_red2,0.9180057437063966
R_enh1,0.39248437333730335
R_enh2,0.2741813489790022
R_enh3,0.12492026293979953
R_red1,0.5405796245620811
R_red2,0.25581657336545255
R_red3,0.02106955906737605
R_red4,0.1831371549621918
G_enh1,0.03424610468608528
G_enh2,0.05924369054379496
G_enh3,0.032667136153680346
G_red1,0.08564134524416456
G_red2,0.06595767113845
G_red3,0.06648211485048314
G_red4,0.12766321459383506
B_enh1,0.12683828099451175
B_enh2,0.07435377982679547
B_enh3,0.02442887608281127
B_red1,0.3443569928389426
B_red2,0.05053358083314249
B_red3,0.1386662822658943
B_red4,0.2491055638248434
